Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1674274759.104	     0.194	0	0	0	0	magma -b cut:=5000 D:=1 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
2	:	1674274759.105	     0.196	0	0	0	0	magma -b cut:=5000 D:=2 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
3	:	1674274759.106	     0.197	0	0	0	0	magma -b cut:=5000 D:=3 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
4	:	1674274759.107	     0.196	0	0	0	0	magma -b cut:=5000 D:=4 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
6	:	1674274759.110	     0.196	0	0	0	0	magma -b cut:=5000 D:=6 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
7	:	1674274759.111	     0.197	0	0	0	0	magma -b cut:=5000 D:=7 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
9	:	1674274759.114	     0.195	0	0	0	0	magma -b cut:=5000 D:=9 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
10	:	1674274759.115	     0.196	0	0	0	0	magma -b cut:=5000 D:=10 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
11	:	1674274759.117	     0.196	0	0	0	0	magma -b cut:=5000 D:=11 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
14	:	1674274759.120	     0.195	0	0	0	0	magma -b cut:=5000 D:=14 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
15	:	1674274759.122	     0.194	0	0	0	0	magma -b cut:=5000 D:=15 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
16	:	1674274759.123	     0.197	0	0	0	0	magma -b cut:=5000 D:=16 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
18	:	1674274759.125	     0.197	0	0	0	0	magma -b cut:=5000 D:=18 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
19	:	1674274759.127	     0.195	0	0	0	0	magma -b cut:=5000 D:=19 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
20	:	1674274759.129	     0.199	0	0	0	0	magma -b cut:=5000 D:=20 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
22	:	1674274759.132	     0.197	0	0	0	0	magma -b cut:=5000 D:=22 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
23	:	1674274759.134	     0.197	0	0	0	0	magma -b cut:=5000 D:=23 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
25	:	1674274759.136	     0.199	0	0	0	0	magma -b cut:=5000 D:=25 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
26	:	1674274759.138	     0.198	0	0	0	0	magma -b cut:=5000 D:=26 ambient:=GL gamma:=Gamma0 scripts/generate_hs.m
