Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1687984476.008	     0.780	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_1 magma -b label:=2.2.5.1-1.1-1.1-gl-0 scripts/generate_inv.m
2	:	1687984476.011	     1.149	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_2 magma -b label:=2.2.5.1-4.1-1.1-gl-0 scripts/generate_inv.m
3	:	1687984476.013	     0.901	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_3 magma -b label:=2.2.5.1-5.1-1.1-gl-0 scripts/generate_inv.m
4	:	1687984476.016	     0.930	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_4 magma -b label:=2.2.5.1-9.1-1.1-gl-0 scripts/generate_inv.m
5	:	1687984476.018	     0.846	0	34	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_5 magma -b label:=2.2.5.1-11.1-1.1-gl-0 scripts/generate_inv.m
6	:	1687984476.020	     1.089	0	34	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_6 magma -b label:=2.2.5.1-11.2-1.1-gl-0 scripts/generate_inv.m
7	:	1687984476.022	     0.967	0	34	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_7 magma -b label:=2.2.5.1-16.1-1.1-gl-0 scripts/generate_inv.m
8	:	1687984476.024	     0.959	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_8 magma -b label:=2.2.5.1-19.1-1.1-gl-0 scripts/generate_inv.m
9	:	1687984476.026	     1.111	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_9 magma -b label:=2.2.5.1-19.2-1.1-gl-0 scripts/generate_inv.m
10	:	1687984476.028	     1.156	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_10 magma -b label:=2.2.5.1-20.1-1.1-gl-0 scripts/generate_inv.m
11	:	1687984476.030	     1.168	0	34	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_11 magma -b label:=2.2.5.1-25.1-1.1-gl-0 scripts/generate_inv.m
12	:	1687984476.031	     0.835	0	32	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_12 magma -b label:=2.2.5.1-29.1-1.1-gl-0 scripts/generate_inv.m
13	:	1687984476.034	     1.114	0	32	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_13 magma -b label:=2.2.5.1-29.2-1.1-gl-0 scripts/generate_inv.m
14	:	1687984476.036	     1.173	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_14 magma -b label:=2.2.5.1-31.1-1.1-gl-0 scripts/generate_inv.m
15	:	1687984476.039	     0.940	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_15 magma -b label:=2.2.5.1-31.2-1.1-gl-0 scripts/generate_inv.m
16	:	1687984476.042	     0.851	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_16 magma -b label:=2.2.5.1-36.1-1.1-gl-0 scripts/generate_inv.m
17	:	1687984476.043	     1.115	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_17 magma -b label:=2.2.5.1-41.1-1.1-gl-0 scripts/generate_inv.m
18	:	1687984476.045	     0.885	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_18 magma -b label:=2.2.5.1-41.2-1.1-gl-0 scripts/generate_inv.m
19	:	1687984476.047	     0.998	0	32	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_19 magma -b label:=2.2.5.1-44.1-1.1-gl-0 scripts/generate_inv.m
20	:	1687984476.049	     0.884	0	32	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_20 magma -b label:=2.2.5.1-44.2-1.1-gl-0 scripts/generate_inv.m
21	:	1687984476.051	     1.119	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_21 magma -b label:=2.2.5.1-45.1-1.1-gl-0 scripts/generate_inv.m
22	:	1687984476.053	     0.792	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_22 magma -b label:=2.2.5.1-49.1-1.1-gl-0 scripts/generate_inv.m
23	:	1687984476.055	     0.833	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_23 magma -b label:=2.2.5.1-55.1-1.1-gl-0 scripts/generate_inv.m
24	:	1687984476.058	     0.838	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_24 magma -b label:=2.2.5.1-55.2-1.1-gl-0 scripts/generate_inv.m
25	:	1687984476.061	     1.078	0	32	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_25 magma -b label:=2.2.5.1-59.1-1.1-gl-0 scripts/generate_inv.m
26	:	1687984476.063	     0.864	0	32	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_26 magma -b label:=2.2.5.1-59.2-1.1-gl-0 scripts/generate_inv.m
27	:	1687984476.064	     0.822	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_27 magma -b label:=2.2.5.1-61.1-1.1-gl-0 scripts/generate_inv.m
28	:	1687984476.068	     1.146	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_28 magma -b label:=2.2.5.1-61.2-1.1-gl-0 scripts/generate_inv.m
29	:	1687984476.071	     0.944	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_29 magma -b label:=2.2.5.1-64.1-1.1-gl-0 scripts/generate_inv.m
30	:	1687984476.073	     0.845	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_30 magma -b label:=2.2.5.1-71.1-1.1-gl-0 scripts/generate_inv.m
31	:	1687984476.075	     0.806	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_31 magma -b label:=2.2.5.1-71.2-1.1-gl-0 scripts/generate_inv.m
32	:	1687984476.078	     1.073	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_32 magma -b label:=2.2.5.1-76.1-1.1-gl-0 scripts/generate_inv.m
33	:	1687984476.080	     1.085	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_33 magma -b label:=2.2.5.1-76.2-1.1-gl-0 scripts/generate_inv.m
34	:	1687984476.082	     1.085	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_34 magma -b label:=2.2.5.1-79.1-1.1-gl-0 scripts/generate_inv.m
35	:	1687984476.085	     0.772	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_35 magma -b label:=2.2.5.1-79.2-1.1-gl-0 scripts/generate_inv.m
36	:	1687984476.088	     1.145	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_36 magma -b label:=2.2.5.1-80.1-1.1-gl-0 scripts/generate_inv.m
37	:	1687984476.090	     1.065	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_37 magma -b label:=2.2.5.1-81.1-1.1-gl-0 scripts/generate_inv.m
38	:	1687984476.092	     1.081	0	34	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_38 magma -b label:=2.2.5.1-89.1-1.1-gl-0 scripts/generate_inv.m
39	:	1687984476.094	     0.813	0	34	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_39 magma -b label:=2.2.5.1-89.2-1.1-gl-0 scripts/generate_inv.m
40	:	1687984476.095	     0.855	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_40 magma -b label:=2.2.5.1-95.1-1.1-gl-0 scripts/generate_inv.m
