Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1687983326.601	     1.090	0	25	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_1 magma -b label:=2.2.5.1-1.1-1.1-gl-0 scripts/generate_kposs.m
2	:	1687983326.603	     0.950	0	32	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_2 magma -b label:=2.2.5.1-4.1-1.1-gl-0 scripts/generate_kposs.m
3	:	1687983326.604	     1.153	0	32	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_3 magma -b label:=2.2.5.1-5.1-1.1-gl-0 scripts/generate_kposs.m
4	:	1687983326.606	     0.845	0	32	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_4 magma -b label:=2.2.5.1-9.1-1.1-gl-0 scripts/generate_kposs.m
5	:	1687983326.607	     1.153	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_5 magma -b label:=2.2.5.1-11.1-1.1-gl-0 scripts/generate_kposs.m
6	:	1687983326.608	     1.138	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_6 magma -b label:=2.2.5.1-11.2-1.1-gl-0 scripts/generate_kposs.m
7	:	1687983326.610	     1.189	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_7 magma -b label:=2.2.5.1-16.1-1.1-gl-0 scripts/generate_kposs.m
8	:	1687983326.611	     0.931	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_8 magma -b label:=2.2.5.1-19.1-1.1-gl-0 scripts/generate_kposs.m
9	:	1687983326.613	     1.143	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_9 magma -b label:=2.2.5.1-19.2-1.1-gl-0 scripts/generate_kposs.m
10	:	1687983326.615	     1.188	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_10 magma -b label:=2.2.5.1-20.1-1.1-gl-0 scripts/generate_kposs.m
11	:	1687983326.616	     0.934	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_11 magma -b label:=2.2.5.1-25.1-1.1-gl-0 scripts/generate_kposs.m
