Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1674273536.646	     0.298	0	0	0	0	magma -b cut:=5000 D:=1 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
2	:	1674273536.647	     0.300	0	0	0	0	magma -b cut:=5000 D:=2 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
3	:	1674273536.648	     0.305	0	0	0	0	magma -b cut:=5000 D:=3 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
4	:	1674273536.649	     0.307	0	0	0	0	magma -b cut:=5000 D:=4 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
6	:	1674273536.651	     0.318	0	0	0	0	magma -b cut:=5000 D:=6 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
7	:	1674273536.652	     0.325	0	0	0	0	magma -b cut:=5000 D:=7 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
9	:	1674273536.655	     0.325	0	0	0	0	magma -b cut:=5000 D:=9 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
10	:	1674273536.656	     0.328	0	0	0	0	magma -b cut:=5000 D:=10 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
11	:	1674273536.657	     0.335	0	0	0	0	magma -b cut:=5000 D:=11 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
14	:	1674273536.662	     0.334	0	0	0	0	magma -b cut:=5000 D:=14 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
15	:	1674273536.663	     0.335	0	0	0	0	magma -b cut:=5000 D:=15 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
16	:	1674273536.665	     0.337	0	0	0	0	magma -b cut:=5000 D:=16 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
18	:	1674273536.667	     0.349	0	0	0	0	magma -b cut:=5000 D:=18 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
19	:	1674273536.670	     0.349	0	0	0	0	magma -b cut:=5000 D:=19 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
20	:	1674273536.673	     0.349	0	0	0	0	magma -b cut:=5000 D:=20 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
22	:	1674273536.680	     0.348	0	0	0	0	magma -b cut:=5000 D:=22 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
