Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1674359481.818	     0.608	0	28	0	0	magma -b label:=2.2.5.1-9.1-1.1-sl-0 scripts/generate_kposs.m
1	:	1674359481.813	     0.640	0	28	0	0	magma -b label:=2.2.5.1-1.1-1.1-sl-0 scripts/generate_kposs.m
28	:	1674359481.859	     0.614	0	26	0	0	magma -b label:=2.2.5.1-61.2-1.1-sl-0 scripts/generate_kposs.m
7	:	1674359481.823	     0.667	0	29	0	0	magma -b label:=2.2.5.1-16.1-1.1-sl-0 scripts/generate_kposs.m
39	:	1674359481.877	     0.617	0	26	0	0	magma -b label:=2.2.5.1-89.2-1.1-sl-0 scripts/generate_kposs.m
32	:	1674359481.865	     0.632	0	26	0	0	magma -b label:=2.2.5.1-76.1-1.1-sl-0 scripts/generate_kposs.m
21	:	1674359481.847	     0.656	0	26	0	0	magma -b label:=2.2.5.1-45.1-1.1-sl-0 scripts/generate_kposs.m
16	:	1674359481.839	     0.667	0	26	0	0	magma -b label:=2.2.5.1-36.1-1.1-sl-0 scripts/generate_kposs.m
3	:	1674359481.816	     0.691	0	28	0	0	magma -b label:=2.2.5.1-5.1-1.1-sl-0 scripts/generate_kposs.m
33	:	1674359481.867	     0.643	0	26	0	0	magma -b label:=2.2.5.1-76.2-1.1-sl-0 scripts/generate_kposs.m
19	:	1674359481.844	     0.677	0	29	0	0	magma -b label:=2.2.5.1-44.1-1.1-sl-0 scripts/generate_kposs.m
49	:	1674359481.894	     0.629	0	27	0	0	magma -b label:=2.2.5.1-116.1-1.1-sl-0 scripts/generate_kposs.m
8	:	1674359481.825	     0.701	0	29	0	0	magma -b label:=2.2.5.1-19.1-1.1-sl-0 scripts/generate_kposs.m
11	:	1674359481.830	     0.699	0	29	0	0	magma -b label:=2.2.5.1-25.1-1.1-sl-0 scripts/generate_kposs.m
25	:	1674359481.854	     0.677	0	29	0	0	magma -b label:=2.2.5.1-59.1-1.1-sl-0 scripts/generate_kposs.m
18	:	1674359481.842	     0.690	0	26	0	0	magma -b label:=2.2.5.1-41.2-1.1-sl-0 scripts/generate_kposs.m
59	:	1674359481.911	     0.624	0	27	0	0	magma -b label:=2.2.5.1-139.1-1.1-sl-0 scripts/generate_kposs.m
34	:	1674359481.869	     0.671	0	26	0	0	magma -b label:=2.2.5.1-79.1-1.1-sl-0 scripts/generate_kposs.m
2	:	1674359481.814	     0.728	0	28	0	0	magma -b label:=2.2.5.1-4.1-1.1-sl-0 scripts/generate_kposs.m
37	:	1674359481.874	     0.671	0	26	0	0	magma -b label:=2.2.5.1-81.1-1.1-sl-0 scripts/generate_kposs.m
26	:	1674359481.855	     0.691	0	29	0	0	magma -b label:=2.2.5.1-59.2-1.1-sl-0 scripts/generate_kposs.m
44	:	1674359481.886	     0.670	0	27	0	0	magma -b label:=2.2.5.1-100.1-1.1-sl-0 scripts/generate_kposs.m
5	:	1674359481.820	     0.739	0	29	0	0	magma -b label:=2.2.5.1-11.1-1.1-sl-0 scripts/generate_kposs.m
62	:	1674359481.915	     0.650	0	27	0	0	magma -b label:=2.2.5.1-145.1-1.1-sl-0 scripts/generate_kposs.m
17	:	1674359481.840	     0.729	0	26	0	0	magma -b label:=2.2.5.1-41.1-1.1-sl-0 scripts/generate_kposs.m
29	:	1674359481.860	     0.710	0	26	0	0	magma -b label:=2.2.5.1-64.1-1.1-sl-0 scripts/generate_kposs.m
50	:	1674359481.896	     0.676	0	27	0	0	magma -b label:=2.2.5.1-116.2-1.1-sl-0 scripts/generate_kposs.m
24	:	1674359481.852	     0.733	0	26	0	0	magma -b label:=2.2.5.1-55.2-1.1-sl-0 scripts/generate_kposs.m
22	:	1674359481.849	     0.742	0	26	0	0	magma -b label:=2.2.5.1-49.1-1.1-sl-0 scripts/generate_kposs.m
20	:	1674359481.846	     0.748	0	29	0	0	magma -b label:=2.2.5.1-44.2-1.1-sl-0 scripts/generate_kposs.m
27	:	1674359481.857	     0.738	0	26	0	0	magma -b label:=2.2.5.1-61.1-1.1-sl-0 scripts/generate_kposs.m
10	:	1674359481.828	     0.777	0	29	0	0	magma -b label:=2.2.5.1-20.1-1.1-sl-0 scripts/generate_kposs.m
43	:	1674359481.884	     0.726	0	26	0	0	magma -b label:=2.2.5.1-99.2-1.1-sl-0 scripts/generate_kposs.m
31	:	1674359481.864	     0.750	0	26	0	0	magma -b label:=2.2.5.1-71.2-1.1-sl-0 scripts/generate_kposs.m
14	:	1674359481.835	     0.782	0	30	0	0	magma -b label:=2.2.5.1-31.1-1.1-sl-0 scripts/generate_kposs.m
56	:	1674359481.906	     0.715	0	27	0	0	magma -b label:=2.2.5.1-125.1-1.1-sl-0 scripts/generate_kposs.m
53	:	1674359481.901	     0.723	0	27	0	0	magma -b label:=2.2.5.1-121.3-1.1-sl-0 scripts/generate_kposs.m
47	:	1674359481.891	     0.740	0	27	0	0	magma -b label:=2.2.5.1-109.1-1.1-sl-0 scripts/generate_kposs.m
41	:	1674359481.881	     0.753	0	26	0	0	magma -b label:=2.2.5.1-95.2-1.1-sl-0 scripts/generate_kposs.m
12	:	1674359481.831	     0.804	0	29	0	0	magma -b label:=2.2.5.1-29.1-1.1-sl-0 scripts/generate_kposs.m
